,track_id,track_name,first_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,mood
482,3pEs3UIsXoLC75O66Uc31M,"Lincoln, Nebraska",Humbird,0.698,0.198,2,-9.753,1,0.0303,0.861,0.00331,0.267,0.325,135.464,spotify:track:3pEs3UIsXoLC75O66Uc31M,143674,4,sad
483,2PHeCBCWESSAqfxpORbxKA,Held Down,Laura Marling,0.392,0.495,7,-7.881,1,0.0364,0.17,1.04e-06,0.338,0.38,78.585,spotify:track:2PHeCBCWESSAqfxpORbxKA,247933,4,sad
484,1YeiQ89ozDpyfYydmiFGep,Maybe,SOAK,0.562,0.681,7,-6.344,1,0.0315,0.0124,0.0138,0.156,0.245,130.006,spotify:track:1YeiQ89ozDpyfYydmiFGep,270664,4,sad
485,31CqZPvgv8VwjQK2jcLSEn,The Hardest Part,Bre Kennedy,0.598,0.177,2,-12.591,1,0.0449,0.852,1.36e-06,0.106,0.392,82.042,spotify:track:31CqZPvgv8VwjQK2jcLSEn,260521,4,sad
486,0N2cfvsgB5FiMwHBmheXu9,Party Dress,Rosie Carney,0.478,0.243,8,-12.064,0,0.0334,0.908,0.000869,0.106,0.273,122.142,spotify:track:0N2cfvsgB5FiMwHBmheXu9,194943,4,sad
487,05ONwzNSWzywHG4wRT8V7o,"More Than You Know - Recorded at Metropolis Studios, London",Fenne Lily,0.45,0.242,6,-16.042,0,0.0317,0.772,0.0,0.102,0.348,130.796,spotify:track:05ONwzNSWzywHG4wRT8V7o,220060,4,sad
488,6fjLHqumARq82yruyMNE1m,Friends with Feelings,Alice Skye,0.718,0.194,1,-16.931,1,0.0329,0.559,9.89e-05,0.11,0.191,84.009,spotify:track:6fjLHqumARq82yruyMNE1m,255427,4,sad
489,18HVJpGSp8imRBOSj4RP8J,Fear & Force,Vagabon,0.596,0.223,0,-11.288,1,0.0275,0.736,0.00182,0.108,0.0384,141.852,spotify:track:18HVJpGSp8imRBOSj4RP8J,213607,4,sad
490,33u3HQgpjtsdP6nDR5SKtf,Pictures of Flowers,Jess Williamson,0.693,0.499,4,-10.103,1,0.0266,0.351,0.000733,0.367,0.427,100.642,spotify:track:33u3HQgpjtsdP6nDR5SKtf,260458,4,sad
491,2U0U5tUzmzAd0tjzvXwHqN,Earthquake,Anna Ash,0.594,0.47,2,-7.448,1,0.0293,0.0275,0.00849,0.102,0.381,84.402,spotify:track:2U0U5tUzmzAd0tjzvXwHqN,190947,4,sad
492,2WDY2kjGeNmhb8UwKmixJi,Dynamite,Saint Sister,0.642,0.583,1,-8.047,1,0.0329,0.464,0.00539,0.375,0.362,152.027,spotify:track:2WDY2kjGeNmhb8UwKmixJi,201937,4,sad
493,7FiiXwfEJnQ21sTktQ5gDm,Pressing Down,Sister Ray,0.654,0.471,10,-7.324,1,0.029,0.4,0.0488,0.163,0.291,128.195,spotify:track:7FiiXwfEJnQ21sTktQ5gDm,239918,4,sad
494,2Nh201cURlNgpcMDnDlNaL,New Shoes,Overcoats,0.577,0.222,7,-10.568,1,0.0291,0.962,3.1e-05,0.359,0.166,136.048,spotify:track:2Nh201cURlNgpcMDnDlNaL,198373,3,sad
495,4h4zgkL5Wv0dYfNQH6B4ca,Cold Caller,Julia Jacklin,0.477,0.424,9,-9.09,1,0.0255,0.018,0.0,0.126,0.299,112.512,spotify:track:4h4zgkL5Wv0dYfNQH6B4ca,237016,3,sad
496,6N41BkrO2jEHjNS3zlXo45,wish you the best (feat. Jensen McRae),Joy Oladokun,0.294,0.199,2,-12.979,1,0.0334,0.612,0.0,0.282,0.0448,153.616,spotify:track:6N41BkrO2jEHjNS3zlXo45,192107,4,sad
497,57S4atY7SJX3Tz5ugHNzNW,I’ll Go Running,Squirrel Flower,0.503,0.217,5,-8.082,0,0.0324,0.716,0.00024,0.136,0.149,72.317,spotify:track:57S4atY7SJX3Tz5ugHNzNW,236611,4,sad
